"CAN-QC-25","Stoneham 3.1 NNW","12/14/2017","12/21/2017","1/1/2019",78,20,39,9,39,377,0,,0,"Closed","CAN","Quebec",,625,"CoCoRaHS","9/6/2022"
"CAN-QC-24","Drummondville 0.9 S","11/27/2017",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,273,"CoCoRaHS","10/29/2020"
"CAN-QC-23","Dollard-Des Ormeaux 2.0 NNE","11/14/2017","10/12/2017","10/19/2020",1039,94,1019,8,20,1104,0,,0,"Closed","CAN","Quebec",,95,"CoCoRaHS","10/26/2020"
"CAN-QC-22","Saint-Adolphe-d'Howard 1.4 NW","11/14/2017","11/15/2017","2/10/2025",2572,97,2385,23,187,2645,1,,0,"Reporting","CAN","Quebec",,1299,"CoCoRaHS","2/10/2025"
"CAN-QC-21","Lac-Beauport 5.1 NNW","10/31/2017","11/30/2017","12/13/2017",6,42,6,,,14,0,,0,"Closed","CAN","Quebec",,625,"CoCoRaHS","8/8/2018"
"CAN-QC-20","Val-Paradis 0.4 SW","10/30/2017",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,599,"CoCoRaHS","10/30/2017"
"CAN-QC-19","Les Escoumins 2.1 SSE","10/29/2017","11/14/2017","9/15/2023",1378,64,1116,79,262,2132,0,,0,"Closed","CAN","Quebec",,609,"CoCoRaHS","5/17/2024"
"CAN-QC-18","Prévost 0.6 N","10/28/2017","11/18/2017","10/23/2021",1429,99,1409,3,20,1436,0,,0,"Closed","CAN","Quebec",,567,"CoCoRaHS","9/19/2022"
"CAN-QC-17","Matane 7.2 ENE","10/28/2017",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,8,"CoCoRaHS","11/13/2017"
"CAN-QC-16","Saint-Armand 3.6 W","10/28/2017","11/13/2017","2/8/2024",2210,96,2200,5,10,2279,6,12,13,"Reporting","CAN","Quebec",,648,"CoCoRaHS","2/8/2024"
"CAN-QC-15","Terrebonne 8.5 NW","10/28/2017",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,193,"CoCoRaHS","11/13/2017"
"CAN-QC-14","McMasterville 1.1 ESE","7/13/2017","8/31/2017","7/11/2018",150,47,142,3,8,315,0,,0,"Closed","CAN","Quebec",,43,"CoCoRaHS","8/10/2020"
"CAN-QC-13","LaSalle 2.0 W","7/1/2017",,,0,,,,,,0,,1,"Closed","CAN","Quebec",,144,"CoCoRaHS","1/13/2018"
"CAN-QC-12","Saint-Adolphe-d'Howard 4.6 WSW","11/8/2016","11/21/2016","11/14/2017",299,83,82,15,217,359,0,,0,"Closed","CAN","Quebec",,1435,"CoCoRaHS","7/16/2018"
"CAN-QC-11","Boucherville 1.4 NE - Le Bulletin","11/8/2016","11/19/2016","3/18/2017",39,32,39,,,120,0,,0,"Closed","CAN","Quebec",,63,"CoCoRaHS","3/18/2017"
"CAN-QC-10","Trois-Rivières 6.0 N","8/29/2016",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,164,"CoCoRaHS","8/29/2016"
"CAN-QC-9","Pointe-Claire 2.9 SSW","8/1/2016",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,89,"CoCoRaHS","8/2/2016"
"CAN-QC-8","Dollard-Des Ormeaux 1.1 W","7/22/2016","10/17/2016","6/22/2017",90,36,86,2,4,249,0,,0,"Closed","CAN","Quebec",,103,"CoCoRaHS","10/19/2020"
"CAN-QC-7","Dollard-Des Ormeaux 1.6 NNE","6/15/2016","6/21/2016","11/25/2017",521,99,482,10,39,523,0,,15,"Closed","CAN","Quebec",,93,"CoCoRaHS","10/29/2018"
"CAN-QC-6","Pointe-Claire 1.5 WSW","6/8/2016",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,166,"CoCoRaHS","6/8/2016"
"CAN-QC-5","Saint-Alphonse-de-Caplan 0.1 NE","3/29/2016","4/1/2016","5/6/2018",559,72,559,,,766,0,,3,"Closed","CAN","Quebec",,499,"CoCoRaHS","8/13/2018"
"CAN-QC-4","Victoriaville 2.1 W","9/20/2015","9/19/2015","9/19/2015",1,100,1,,,1,0,,0,"Closed","CAN","Quebec",,430,"CoCoRaHS","7/16/2018"
"CAN-QC-3","Rimouski 1.2 SE","10/3/2014",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,138,"CoCoRaHS","7/16/2018"
"CAN-QC-2",,"11/15/2012",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,,"CoCoRaHS","8/5/2021"
"CAN-QC-1",,"6/11/2013","3/23/2017","3/28/2017",10,166,1,3,9,6,0,,0,"Closed","CAN","Quebec",,,"CoCoRaHS","3/28/2017"
